MovementID,MovementDate,ProductID,MovementType,Quantity,LocationID
MOVE000103,2024-09-30,PROD0124,OUT,47,LOC03
MOVE000104,2024-06-23,PROD0059,IN,125,LOC05
MOVE000105,2024-09-10,PROD0010,IN,35,LOC02
MOVE000106,2024-09-14,PROD0034,IN,161,LOC04
MOVE000107,2024-05-28,PROD0009,IN,97,LOC01
MOVE000108,2024-04-18,PROD0134,IN,131,LOC04
MOVE000109,2024-06-01,PROD0142,IN,177,LOC05
MOVE000110,2024-01-26,PROD0077,IN,35,LOC04
MOVE000111,2024-02-06,PROD0024,IN,198,LOC03
MOVE000112,2025-06-19,PROD0020,OUT,34,LOC05
MOVE000113,2024-03-29,PROD0015,IN,116,LOC04
MOVE000114,2024-03-14,PROD0042,OUT,29,LOC04
MOVE000115,2024-08-05,PROD0115,IN,183,LOC05
MOVE000116,2025-05-10,PROD0089,OUT,36,LOC05
MOVE000117,2025-06-08,PROD0088,IN,82,LOC05
MOVE000118,2024-09-02,PROD0076,IN,91,LOC03
MOVE000119,2024-12-11,PROD0133,IN,193,LOC03
MOVE000120,2024-08-26,PROD0130,IN,179,LOC05
MOVE000121,2024-03-17,PROD0008,OUT,50,LOC04
MOVE000122,2025-06-21,PROD0095,OUT,20,LOC04
MOVE000123,2024-03-05,PROD0106,OUT,35,LOC01
MOVE000124,2024-01-13,PROD0015,IN,114,LOC05
MOVE000125,2024-05-25,PROD0104,OUT,33,LOC02
MOVE000126,2024-11-16,PROD0092,IN,187,LOC05
MOVE000127,2024-03-24,PROD0065,IN,169,LOC05
MOVE000128,2024-05-17,PROD0026,IN,156,LOC03
MOVE000129,2024-10-04,PROD0027,IN,82,LOC02
MOVE000130,2024-03-07,PROD0100,OUT,44,LOC04
MOVE000131,2024-10-11,PROD0011,OUT,21,LOC05
MOVE000132,2024-05-12,PROD0094,IN,124,LOC05
MOVE000133,2024-10-31,PROD0062,OUT,39,LOC03
MOVE000134,2024-08-14,PROD0038,IN,43,LOC04
MOVE000135,2024-06-01,PROD0056,OUT,40,LOC04
MOVE000136,2024-06-12,PROD0009,IN,100,LOC05
MOVE000137,2024-07-03,PROD0061,OUT,11,LOC04
MOVE000138,2025-05-13,PROD0104,OUT,40,LOC03
MOVE000139,2025-06-06,PROD0076,OUT,48,LOC05
MOVE000140,2024-01-15,PROD0077,IN,44,LOC01
MOVE000141,2025-02-13,PROD0089,OUT,8,LOC01
MOVE000142,2025-01-23,PROD0030,IN,132,LOC02
MOVE000143,2025-05-01,PROD0144,OUT,33,LOC01
MOVE000144,2024-11-29,PROD0031,IN,130,LOC01
MOVE000145,2024-02-23,PROD0020,IN,33,LOC02
MOVE000146,2025-04-23,PROD0099,OUT,46,LOC01
MOVE000147,2025-01-23,PROD0055,IN,51,LOC05
MOVE000148,2024-01-19,PROD0077,OUT,33,LOC02
MOVE000149,2024-08-28,PROD0018,IN,41,LOC02
MOVE000150,2025-03-15,PROD0006,IN,147,LOC05
MOVE000151,2024-06-10,PROD0001,IN,69,LOC02
MOVE000152,2025-04-26,PROD0133,IN,151,LOC05
MOVE000153,2024-09-11,PROD0017,OUT,11,LOC04
MOVE000154,2024-02-07,PROD0072,IN,65,LOC01
MOVE000155,2024-07-19,PROD0127,IN,130,LOC05
MOVE000156,2025-01-03,PROD0055,IN,102,LOC03
MOVE000157,2024-02-19,PROD0140,OUT,13,LOC04
MOVE000158,2024-03-19,PROD0076,IN,116,LOC05
MOVE000159,2024-02-02,PROD0144,OUT,22,LOC02
MOVE000160,2024-08-23,PROD0071,OUT,47,LOC03
MOVE000161,2024-01-17,PROD0014,OUT,26,LOC01
MOVE000162,2024-08-09,PROD0116,IN,86,LOC01
MOVE000163,2024-08-25,PROD0132,IN,100,LOC05
MOVE000164,2024-08-19,PROD0037,IN,148,LOC05
MOVE000165,2024-04-03,PROD0091,IN,58,LOC05
MOVE000166,2024-07-27,PROD0081,IN,170,LOC02
MOVE000167,2024-11-27,PROD0036,OUT,46,LOC05
MOVE000168,2024-08-10,PROD0145,IN,194,LOC01
MOVE000169,2024-05-04,PROD0086,IN,182,LOC05
MOVE000170,2025-01-04,PROD0148,OUT,6,LOC02
MOVE000171,2025-01-14,PROD0012,IN,88,LOC01
MOVE000172,2025-02-19,PROD0145,IN,73,LOC05
MOVE000173,2024-01-19,PROD0081,IN,25,LOC05
MOVE000174,2024-11-27,PROD0069,IN,172,LOC01
MOVE000175,2024-06-21,PROD0111,OUT,14,LOC04
MOVE000176,2024-01-20,PROD0132,IN,114,LOC04
MOVE000177,2024-05-25,PROD0003,IN,102,LOC01
MOVE000178,2024-03-01,PROD0013,IN,172,LOC05
MOVE000179,2025-03-06,PROD0018,OUT,38,LOC04
MOVE000180,2024-02-15,PROD0010,IN,148,LOC05
MOVE000181,2024-09-11,PROD0090,IN,88,LOC01
MOVE000182,2024-12-03,PROD0092,OUT,29,LOC05
MOVE000183,2024-07-14,PROD0086,OUT,3,LOC05
MOVE000184,2024-06-08,PROD0088,OUT,28,LOC03
MOVE000185,2024-04-17,PROD0036,IN,77,LOC02
MOVE000186,2024-12-10,PROD0133,IN,77,LOC03
MOVE000187,2024-06-05,PROD0007,IN,48,LOC01
MOVE000188,2024-12-15,PROD0069,IN,165,LOC03
MOVE000189,2025-01-12,PROD0068,IN,50,LOC02
MOVE000190,2024-06-27,PROD0073,IN,89,LOC01
MOVE000191,2025-06-12,PROD0105,IN,174,LOC05
MOVE000192,2025-06-01,PROD0119,OUT,41,LOC01
MOVE000193,2024-05-08,PROD0099,OUT,4,LOC01
MOVE000194,2024-05-31,PROD0008,OUT,10,LOC03
MOVE000195,2025-05-09,PROD0017,IN,58,LOC01
MOVE000196,2025-01-16,PROD0072,OUT,18,LOC03
MOVE000197,2024-12-01,PROD0111,OUT,8,LOC01
MOVE000198,2024-06-27,PROD0091,IN,147,LOC05
MOVE000199,2024-11-14,PROD0071,IN,39,LOC03
MOVE000200,2024-04-16,PROD0007,IN,163,LOC03
MOVE000201,2024-03-04,PROD0045,IN,181,LOC04
MOVE000202,2024-03-21,PROD0124,OUT,14,LOC04
MOVE000203,2025-03-19,PROD0030,IN,31,LOC05
MOVE000204,2025-02-14,PROD0028,IN,37,LOC03
MOVE000205,2024-07-22,PROD0098,IN,188,LOC03
MOVE000206,2025-03-02,PROD0056,IN,126,LOC02
MOVE000207,2025-04-11,PROD0040,OUT,43,LOC01
MOVE000208,2024-11-10,PROD0053,IN,145,LOC01
MOVE000209,2024-08-18,PROD0017,IN,140,LOC02
MOVE000210,2024-11-23,PROD0035,IN,35,LOC03
MOVE000211,2025-02-21,PROD0003,IN,100,LOC01
MOVE000212,2024-03-10,PROD0075,IN,191,LOC02
MOVE000213,2025-02-08,PROD0070,IN,139,LOC03
MOVE000214,2025-03-23,PROD0131,IN,92,LOC04
MOVE000215,2024-09-20,PROD0113,IN,108,LOC01
MOVE000216,2024-09-19,PROD0053,OUT,28,LOC01
MOVE000217,2024-07-28,PROD0054,OUT,30,LOC03
MOVE000218,2024-07-31,PROD0015,OUT,29,LOC01
MOVE000219,2024-03-14,PROD0082,IN,70,LOC01
MOVE000220,2024-02-26,PROD0073,OUT,24,LOC04
MOVE000221,2024-01-19,PROD0003,IN,115,LOC02
MOVE000222,2025-05-14,PROD0007,IN,139,LOC02
MOVE000223,2024-02-25,PROD0034,OUT,29,LOC05
MOVE000224,2024-12-07,PROD0095,IN,111,LOC03
MOVE000225,2024-01-11,PROD0016,OUT,5,LOC01
MOVE000226,2025-01-20,PROD0093,OUT,18,LOC02
MOVE000227,2024-04-23,PROD0019,OUT,35,LOC01
MOVE000228,2025-04-19,PROD0101,IN,43,LOC03
MOVE000229,2024-04-01,PROD0147,IN,97,LOC03
MOVE000230,2024-01-20,PROD0095,OUT,38,LOC03
MOVE000231,2025-05-12,PROD0072,IN,120,LOC04
MOVE000232,2024-09-15,PROD0087,IN,26,LOC04
MOVE000233,2024-01-28,PROD0102,OUT,25,LOC05
MOVE000234,2024-04-02,PROD0080,OUT,34,LOC04
MOVE000235,2024-10-18,PROD0109,OUT,5,LOC01
MOVE000236,2024-08-04,PROD0041,IN,139,LOC03
MOVE000237,2025-04-03,PROD0112,IN,98,LOC03
MOVE000238,2025-03-18,PROD0106,IN,81,LOC02
MOVE000239,2024-12-04,PROD0088,IN,109,LOC04
MOVE000240,2025-06-16,PROD0067,IN,133,LOC05
MOVE000241,2025-03-16,PROD0004,OUT,35,LOC01
MOVE000242,2025-04-18,PROD0103,IN,72,LOC03
MOVE000243,2025-01-08,PROD0093,OUT,4,LOC05
MOVE000244,2024-05-06,PROD0054,IN,30,LOC01
MOVE000245,2024-09-11,PROD0107,IN,186,LOC01
MOVE000246,2024-06-15,PROD0081,OUT,25,LOC01
MOVE000247,2024-08-14,PROD0054,OUT,33,LOC03
MOVE000248,2024-08-04,PROD0102,IN,183,LOC01
MOVE000249,2025-03-06,PROD0026,IN,55,LOC03
MOVE000250,2025-04-22,PROD0065,IN,159,LOC02
MOVE000251,2024-03-01,PROD0007,OUT,9,LOC05
MOVE000252,2025-04-20,PROD0048,IN,79,LOC05
MOVE000253,2025-04-22,PROD0076,OUT,24,LOC05
MOVE000254,2024-02-01,PROD0068,IN,24,LOC04
MOVE000255,2024-06-12,PROD0090,OUT,12,LOC04
MOVE000256,2025-05-06,PROD0123,OUT,36,LOC05
MOVE000257,2024-01-15,PROD0047,OUT,12,LOC03
MOVE000258,2025-03-25,PROD0019,OUT,5,LOC02
MOVE000259,2025-05-03,PROD0134,OUT,20,LOC05
MOVE000260,2025-02-05,PROD0110,IN,144,LOC01
MOVE000261,2024-10-02,PROD0114,IN,175,LOC01
MOVE000262,2024-03-19,PROD0031,IN,79,LOC02
MOVE000263,2025-01-04,PROD0008,IN,56,LOC05
MOVE000264,2024-12-28,PROD0077,IN,193,LOC05
MOVE000265,2025-01-29,PROD0118,IN,138,LOC02
MOVE000266,2024-08-17,PROD0039,IN,157,LOC04
MOVE000267,2024-09-08,PROD0013,IN,61,LOC05
MOVE000268,2024-06-24,PROD0143,OUT,45,LOC02
MOVE000269,2024-09-03,PROD0003,IN,127,LOC01
MOVE000270,2025-01-05,PROD0005,IN,152,LOC04
MOVE000271,2024-07-13,PROD0079,IN,35,LOC04
MOVE000272,2025-03-14,PROD0047,IN,46,LOC02
MOVE000273,2025-05-09,PROD0054,IN,97,LOC02
MOVE000274,2024-02-29,PROD0137,OUT,37,LOC03
MOVE000275,2024-06-07,PROD0040,IN,161,LOC04
MOVE000276,2025-02-07,PROD0022,IN,72,LOC04
MOVE000277,2024-12-23,PROD0068,IN,55,LOC04
MOVE000278,2024-02-12,PROD0021,IN,58,LOC04
MOVE000279,2025-01-17,PROD0139,IN,61,LOC02
MOVE000280,2025-03-03,PROD0119,OUT,5,LOC03
MOVE000281,2024-06-25,PROD0006,OUT,36,LOC03
MOVE000282,2024-12-05,PROD0058,OUT,23,LOC04
MOVE000283,2025-05-05,PROD0008,IN,100,LOC01
MOVE000284,2025-06-27,PROD0055,IN,179,LOC05
MOVE000285,2024-11-24,PROD0005,IN,173,LOC03
MOVE000286,2024-06-05,PROD0089,IN,101,LOC01
MOVE000287,2024-05-20,PROD0123,OUT,50,LOC02
MOVE000288,2024-04-23,PROD0101,IN,105,LOC01
MOVE000289,2025-01-02,PROD0144,OUT,45,LOC04
MOVE000290,2025-04-02,PROD0048,OUT,15,LOC04
MOVE000291,2025-05-05,PROD0069,IN,126,LOC01
MOVE000292,2024-11-11,PROD0105,IN,187,LOC04
MOVE000293,2024-12-16,PROD0120,IN,170,LOC02
MOVE000294,2024-01-30,PROD0130,OUT,38,LOC01
MOVE000295,2024-02-13,PROD0142,IN,194,LOC03
MOVE000296,2025-03-21,PROD0144,OUT,41,LOC01
MOVE000297,2024-01-25,PROD0041,IN,182,LOC01
MOVE000298,2024-12-20,PROD0028,IN,38,LOC04
MOVE000299,2025-05-06,PROD0131,IN,34,LOC02
MOVE000300,2024-12-24,PROD0062,IN,117,LOC02
MOVE000301,2025-04-05,PROD0010,OUT,44,LOC04
MOVE000302,2025-03-02,PROD0086,IN,36,LOC04
MOVE000303,2024-05-13,PROD0093,IN,58,LOC04
MOVE000304,2024-07-25,PROD0042,OUT,16,LOC01
MOVE000305,2024-12-29,PROD0106,OUT,35,LOC05
MOVE000306,2025-03-06,PROD0077,OUT,25,LOC01
MOVE000307,2024-08-17,PROD0067,IN,149,LOC05
MOVE000308,2024-07-27,PROD0098,OUT,12,LOC01
MOVE000309,2024-10-28,PROD0120,OUT,7,LOC04
MOVE000310,2024-06-18,PROD0074,OUT,38,LOC03
MOVE000311,2025-04-27,PROD0065,OUT,20,LOC01
MOVE000312,2024-09-25,PROD0069,IN,33,LOC01
MOVE000313,2024-10-28,PROD0036,IN,47,LOC03
MOVE000314,2024-06-05,PROD0052,OUT,21,LOC01
MOVE000315,2024-07-02,PROD0038,IN,22,LOC03
MOVE000316,2024-03-31,PROD0130,IN,175,LOC01
MOVE000317,2025-05-30,PROD0020,IN,77,LOC02
MOVE000318,2024-05-25,PROD0143,IN,77,LOC01
MOVE000319,2024-09-24,PROD0037,IN,34,LOC05
MOVE000320,2025-02-28,PROD0119,IN,45,LOC01
MOVE000321,2025-04-03,PROD0001,IN,60,LOC05
MOVE000322,2024-03-02,PROD0049,IN,98,LOC05
MOVE000323,2024-10-12,PROD0036,IN,55,LOC05
MOVE000324,2024-10-29,PROD0044,OUT,28,LOC03
MOVE000325,2024-04-24,PROD0135,IN,172,LOC01
MOVE000326,2025-01-13,PROD0121,IN,162,LOC05
MOVE000327,2024-04-28,PROD0011,IN,198,LOC05
MOVE000328,2024-06-03,PROD0071,IN,144,LOC05
MOVE000329,2025-01-29,PROD0041,IN,82,LOC05
MOVE000330,2025-04-26,PROD0072,IN,98,LOC05
MOVE000331,2024-07-14,PROD0107,OUT,41,LOC05
MOVE000332,2025-01-01,PROD0008,IN,157,LOC04
MOVE000333,2024-03-26,PROD0026,OUT,23,LOC03
MOVE000334,2024-11-24,PROD0007,OUT,39,LOC01
MOVE000335,2025-05-03,PROD0083,IN,55,LOC03
MOVE000336,2025-02-16,PROD0079,IN,185,LOC03
MOVE000337,2025-04-27,PROD0015,IN,37,LOC05
MOVE000338,2025-01-03,PROD0042,OUT,12,LOC02
MOVE000339,2024-01-25,PROD0031,IN,169,LOC02
MOVE000340,2024-10-02,PROD0049,OUT,25,LOC03
MOVE000341,2025-04-29,PROD0027,IN,80,LOC01
MOVE000342,2025-05-04,PROD0086,OUT,4,LOC05
MOVE000343,2024-11-03,PROD0098,OUT,33,LOC04
MOVE000344,2024-05-08,PROD0122,IN,138,LOC05
MOVE000345,2024-10-09,PROD0043,OUT,28,LOC05
MOVE000346,2024-02-10,PROD0115,IN,44,LOC01
MOVE000347,2025-02-28,PROD0119,IN,49,LOC05
MOVE000348,2025-02-09,PROD0064,OUT,43,LOC04
MOVE000349,2025-01-18,PROD0124,IN,56,LOC01
MOVE000350,2024-10-16,PROD0045,OUT,49,LOC01
MOVE000351,2025-01-30,PROD0038,OUT,24,LOC05
MOVE000352,2024-12-23,PROD0055,IN,50,LOC02
MOVE000353,2024-03-09,PROD0056,IN,135,LOC03
MOVE000354,2024-03-27,PROD0032,IN,65,LOC05
MOVE000355,2024-04-14,PROD0001,IN,156,LOC02
MOVE000356,2024-07-24,PROD0108,IN,70,LOC01
MOVE000357,2024-06-28,PROD0109,IN,177,LOC01
MOVE000358,2024-12-15,PROD0084,OUT,28,LOC01
MOVE000359,2024-04-29,PROD0141,IN,64,LOC01
MOVE000360,2025-03-07,PROD0066,OUT,14,LOC04
MOVE000361,2025-04-04,PROD0108,IN,134,LOC01
MOVE000362,2025-03-16,PROD0037,IN,161,LOC02
MOVE000363,2025-03-15,PROD0118,OUT,49,LOC05
MOVE000364,2024-12-14,PROD0110,IN,151,LOC01
MOVE000365,2024-09-15,PROD0123,OUT,47,LOC02
MOVE000366,2024-10-24,PROD0033,IN,191,LOC04
MOVE000367,2024-05-27,PROD0083,OUT,17,LOC01
MOVE000368,2024-10-27,PROD0037,IN,129,LOC02
MOVE000369,2024-11-12,PROD0060,IN,155,LOC01
MOVE000370,2024-10-24,PROD0139,IN,118,LOC04
MOVE000371,2025-04-09,PROD0007,IN,161,LOC02
MOVE000372,2024-03-15,PROD0085,IN,196,LOC01
MOVE000373,2024-01-08,PROD0146,OUT,39,LOC01
MOVE000374,2025-04-14,PROD0078,IN,74,LOC01
MOVE000375,2025-01-28,PROD0146,IN,101,LOC05
MOVE000376,2025-04-13,PROD0019,IN,42,LOC01
MOVE000377,2024-10-06,PROD0109,IN,198,LOC01
MOVE000378,2024-04-01,PROD0146,OUT,3,LOC03
MOVE000379,2025-04-22,PROD0093,OUT,11,LOC02
MOVE000380,2024-04-10,PROD0037,OUT,23,LOC02
MOVE000381,2024-05-26,PROD0105,IN,143,LOC05
MOVE000382,2024-11-07,PROD0090,IN,100,LOC01
MOVE000383,2025-02-23,PROD0021,IN,21,LOC05
MOVE000384,2025-03-02,PROD0083,OUT,42,LOC04
MOVE000385,2024-10-15,PROD0144,IN,66,LOC02
MOVE000386,2025-04-21,PROD0140,OUT,22,LOC02
MOVE000387,2024-05-08,PROD0028,IN,56,LOC02
MOVE000388,2025-03-20,PROD0116,OUT,50,LOC01
MOVE000389,2024-09-24,PROD0019,IN,98,LOC05
MOVE000390,2024-02-14,PROD0086,OUT,25,LOC01
MOVE000391,2024-07-13,PROD0125,OUT,46,LOC02
MOVE000392,2024-02-10,PROD0096,IN,178,LOC02
MOVE000393,2024-03-13,PROD0013,IN,23,LOC03
MOVE000394,2024-06-07,PROD0044,IN,184,LOC04
MOVE000395,2025-06-24,PROD0142,IN,125,LOC01
MOVE000396,2024-10-19,PROD0061,IN,116,LOC05
MOVE000397,2025-01-29,PROD0044,IN,128,LOC05
MOVE000398,2024-02-17,PROD0132,OUT,46,LOC05
MOVE000399,2024-11-14,PROD0015,IN,24,LOC01
MOVE000400,2024-09-23,PROD0101,OUT,9,LOC04
MOVE000401,2025-02-08,PROD0028,IN,38,LOC05
MOVE000402,2024-03-04,PROD0039,IN,128,LOC05
MOVE000403,2024-06-04,PROD0144,IN,55,LOC02
MOVE000404,2025-04-24,PROD0013,IN,42,LOC04
MOVE000405,2025-02-26,PROD0098,IN,25,LOC04
MOVE000406,2024-11-18,PROD0139,IN,71,LOC02
MOVE000407,2024-03-29,PROD0125,IN,133,LOC05
MOVE000408,2024-12-07,PROD0060,IN,67,LOC03
MOVE000409,2024-02-22,PROD0085,OUT,42,LOC02
MOVE000410,2024-02-20,PROD0049,OUT,10,LOC02
MOVE000411,2024-01-22,PROD0084,OUT,32,LOC01
MOVE000412,2025-01-17,PROD0102,OUT,28,LOC05
MOVE000413,2025-01-30,PROD0132,IN,26,LOC04
MOVE000414,2024-04-07,PROD0149,OUT,22,LOC04
MOVE000415,2025-06-16,PROD0114,IN,78,LOC02
MOVE000416,2024-07-03,PROD0133,IN,191,LOC04
MOVE000417,2025-04-24,PROD0066,IN,167,LOC03
MOVE000418,2025-06-12,PROD0029,OUT,36,LOC01
MOVE000419,2025-05-01,PROD0143,IN,113,LOC02
MOVE000420,2024-03-13,PROD0064,OUT,3,LOC03
MOVE000421,2024-02-17,PROD0150,OUT,1,LOC05
MOVE000422,2025-02-13,PROD0019,IN,127,LOC02
MOVE000423,2024-05-28,PROD0095,IN,52,LOC02
MOVE000424,2025-01-15,PROD0135,IN,72,LOC05
MOVE000425,2024-01-12,PROD0051,OUT,29,LOC02
MOVE000426,2024-03-16,PROD0113,IN,68,LOC05
MOVE000427,2024-07-20,PROD0143,IN,129,LOC04
MOVE000428,2025-06-03,PROD0116,OUT,38,LOC05
MOVE000429,2024-06-21,PROD0060,IN,196,LOC05
MOVE000430,2024-07-20,PROD0065,IN,186,LOC01
MOVE000431,2024-01-30,PROD0088,IN,61,LOC05
MOVE000432,2025-02-09,PROD0031,IN,23,LOC01
MOVE000433,2024-05-24,PROD0064,OUT,19,LOC03
MOVE000434,2024-03-04,PROD0126,IN,137,LOC01
MOVE000435,2024-12-18,PROD0080,IN,193,LOC03
MOVE000436,2024-03-06,PROD0108,IN,104,LOC05
MOVE000437,2024-12-02,PROD0051,IN,41,LOC03
MOVE000438,2024-08-08,PROD0143,OUT,13,LOC05
MOVE000439,2024-07-21,PROD0144,IN,128,LOC02
MOVE000440,2024-07-07,PROD0061,IN,109,LOC01
MOVE000441,2025-01-31,PROD0125,IN,181,LOC04
MOVE000442,2024-08-18,PROD0149,IN,76,LOC02
MOVE000443,2024-07-03,PROD0027,IN,110,LOC05
MOVE000444,2024-10-16,PROD0101,IN,101,LOC01
MOVE000445,2024-04-02,PROD0031,IN,96,LOC03
MOVE000446,2024-08-06,PROD0041,OUT,41,LOC02
MOVE000447,2024-06-28,PROD0001,IN,107,LOC03
MOVE000448,2025-02-03,PROD0097,OUT,49,LOC04
MOVE000449,2024-10-08,PROD0036,IN,74,LOC02
MOVE000450,2024-06-18,PROD0093,OUT,6,LOC03
MOVE000451,2025-06-23,PROD0124,IN,53,LOC04
MOVE000452,2024-09-18,PROD0062,IN,191,LOC01
MOVE000453,2025-04-01,PROD0135,IN,22,LOC04
MOVE000454,2024-03-11,PROD0148,IN,54,LOC04
MOVE000455,2024-10-24,PROD0100,IN,137,LOC03
MOVE000456,2024-02-17,PROD0035,IN,112,LOC05
MOVE000457,2024-03-15,PROD0073,OUT,12,LOC04
MOVE000458,2024-09-27,PROD0092,IN,143,LOC04
MOVE000459,2025-03-31,PROD0083,OUT,17,LOC05
