WeatherDate,City,Temperature_C,Humidity_percent,Precipitation_mm
2024-10-01,Mumbai,30.84,94.13,0.0
2024-10-02,Mumbai,32.24,62.73,0.0
2024-10-03,Mumbai,25.3,88.31,18.14
2024-10-04,Mumbai,26.84,87.16,0.0
2024-10-05,Mumbai,21.87,69.53,0.0
2024-10-06,Mumbai,22.77,94.83,8.94
2024-10-07,Mumbai,22.35,63.14,0.0
2024-10-08,Mumbai,25.48,82.91,16.6
2024-10-09,Mumbai,34.98,66.51,0.0
2024-10-10,Mumbai,21.26,90.01,0.0
2024-10-11,Mumbai,30.52,60.04,16.89
2024-10-12,Mumbai,31.11,60.43,10.29
2024-10-13,Mumbai,33.51,70.82,0.0
2024-10-14,Mumbai,29.51,93.39,0.0
2024-10-15,Mumbai,22.34,67.82,0.0
2024-10-16,Mumbai,32.59,83.47,0.0
2024-10-17,Mumbai,32.22,66.49,0.0
2024-10-18,Mumbai,33.35,80.12,6.21
2024-10-19,Mumbai,29.57,78.67,0.0
2024-10-20,Mumbai,33.28,63.85,0.0
2024-10-21,Mumbai,21.23,87.29,17.41
2024-10-22,Mumbai,34.92,60.0,11.36
2024-10-23,Mumbai,26.03,69.79,0.0
2024-10-24,Mumbai,32.61,89.41,0.68
2024-10-25,Mumbai,27.49,86.84,0.0
2024-10-26,Mumbai,21.88,69.23,12.67
2024-10-27,Mumbai,29.1,79.5,0.0
2024-10-28,Mumbai,27.99,67.05,0.0
2024-10-29,Mumbai,30.42,85.47,0.0
2024-10-30,Mumbai,31.72,80.42,0.0
2024-10-31,Mumbai,27.24,73.62,0.0
2024-11-01,Mumbai,29.92,64.12,0.0
2024-11-02,Mumbai,20.7,70.61,0.0
2024-11-03,Mumbai,34.77,69.25,0.0
2024-11-04,Mumbai,20.39,73.72,6.48
2024-11-05,Mumbai,28.23,74.41,4.68
2024-11-06,Mumbai,33.88,82.52,0.08
2024-11-07,Mumbai,28.47,69.01,0.0
2024-11-08,Mumbai,33.05,85.43,8.05
2024-11-09,Mumbai,31.09,83.44,0.0
2024-11-10,Mumbai,25.88,85.84,0.0
2024-11-11,Mumbai,28.18,69.99,0.0
2024-11-12,Mumbai,26.27,83.24,0.0
2024-11-13,Mumbai,26.28,94.48,0.0
2024-11-14,Mumbai,20.48,60.16,0.0
2024-11-15,Mumbai,29.28,93.43,0.0
2024-11-16,Mumbai,25.98,92.26,0.0
2024-11-17,Mumbai,21.32,60.26,0.0
2024-11-18,Mumbai,32.15,72.8,0.0
2024-11-19,Mumbai,28.62,86.16,0.0
2024-11-20,Mumbai,27.07,63.57,0.0
2024-11-21,Mumbai,22.84,69.15,16.2
2024-11-22,Mumbai,26.07,93.15,0.0
2024-11-23,Mumbai,34.68,84.92,18.5
2024-11-24,Mumbai,25.07,84.8,0.0
2024-11-25,Mumbai,22.24,60.86,7.74
2024-11-26,Mumbai,21.44,81.99,0.0
2024-11-27,Mumbai,23.08,73.22,18.18
2024-11-28,Mumbai,31.96,80.06,0.0
2024-11-29,Mumbai,33.13,90.29,0.0
2024-11-30,Mumbai,30.55,70.99,0.0
2024-12-01,Mumbai,34.24,63.85,0.0
2024-12-02,Mumbai,30.81,63.7,0.0
2024-12-03,Mumbai,33.02,76.14,0.0
2024-12-04,Mumbai,22.49,85.02,0.0
2024-12-05,Mumbai,34.7,72.56,1.44
2024-12-06,Mumbai,30.42,78.88,9.91
2024-12-07,Mumbai,24.62,61.77,0.0
2024-12-08,Mumbai,34.11,64.82,8.71
2024-12-09,Mumbai,32.07,61.62,0.0
2024-12-10,Mumbai,20.84,91.71,0.0
2024-12-11,Mumbai,30.78,87.82,0.0
2024-12-12,Mumbai,32.47,91.03,0.0
2024-12-13,Mumbai,33.56,80.71,0.0
2024-12-14,Mumbai,26.92,90.45,0.0
2024-12-15,Mumbai,34.97,83.37,14.78
2024-12-16,Mumbai,28.05,78.53,7.79
2024-12-17,Mumbai,24.2,79.39,0.0
2024-12-18,Mumbai,33.79,67.13,0.0
2024-12-19,Mumbai,34.22,88.58,0.0
2024-12-20,Mumbai,24.16,86.04,0.0
2024-12-21,Mumbai,29.7,80.49,10.17
2024-12-22,Mumbai,22.82,70.11,0.86
2024-12-23,Mumbai,34.43,94.46,0.0
2024-12-24,Mumbai,30.2,65.61,2.13
2024-12-25,Mumbai,24.95,84.78,7.91
2024-12-26,Mumbai,26.39,68.29,0.0
2024-12-27,Mumbai,31.36,76.92,18.2
2024-12-28,Mumbai,25.88,92.47,0.0
2024-12-29,Mumbai,33.69,90.37,0.0
2024-12-30,Mumbai,21.58,81.46,7.27
2024-12-31,Mumbai,22.83,75.36,0.0
2025-01-01,Mumbai,32.3,88.33,0.0
2025-01-02,Mumbai,30.29,74.2,0.0
2025-01-03,Mumbai,31.15,90.54,0.0
2025-01-04,Mumbai,25.29,89.41,0.0
2025-01-05,Mumbai,23.7,72.5,11.06
2025-01-06,Mumbai,27.17,80.23,0.0
2025-01-07,Mumbai,27.09,92.02,0.0
2025-01-08,Mumbai,26.71,64.06,0.0
2025-01-09,Mumbai,22.06,79.11,0.0
2025-01-10,Mumbai,33.97,75.03,0.0
2025-01-11,Mumbai,27.63,68.88,0.0
2025-01-12,Mumbai,26.87,84.97,0.0
2025-01-13,Mumbai,25.36,76.83,0.0
2025-01-14,Mumbai,33.4,65.75,0.0
2025-01-15,Mumbai,20.97,75.6,0.0
2025-01-16,Mumbai,28.92,82.6,0.0
2025-01-17,Mumbai,27.26,69.35,0.0
2025-01-18,Mumbai,27.87,65.54,17.43
2025-01-19,Mumbai,34.62,65.22,0.0
2025-01-20,Mumbai,28.99,60.96,0.0
2025-01-21,Mumbai,33.36,65.14,0.0
2025-01-22,Mumbai,25.11,66.1,0.0
2025-01-23,Mumbai,23.69,68.95,0.0
2025-01-24,Mumbai,29.61,73.41,0.0
2025-01-25,Mumbai,30.93,63.84,0.0
2025-01-26,Mumbai,26.53,67.75,0.0
2025-01-27,Mumbai,33.77,75.62,0.0
2025-01-28,Mumbai,31.65,78.95,0.0
2025-01-29,Mumbai,29.02,79.56,0.0
2025-01-30,Mumbai,29.34,67.06,0.0
2025-01-31,Mumbai,20.53,65.08,0.0
2025-02-01,Mumbai,22.86,83.0,9.64
2025-02-02,Mumbai,20.29,68.98,0.0
2025-02-03,Mumbai,33.51,85.02,0.0
2025-02-04,Mumbai,32.38,92.51,0.0
2025-02-05,Mumbai,22.46,76.15,0.0
2025-02-06,Mumbai,32.08,93.92,0.0
2025-02-07,Mumbai,32.38,85.88,9.66
2025-02-08,Mumbai,29.37,87.6,0.0
2025-02-09,Mumbai,25.83,69.13,0.0
2025-02-10,Mumbai,34.26,83.13,0.0
2025-02-11,Mumbai,33.96,77.83,0.0
2025-02-12,Mumbai,25.76,80.56,0.0
2025-02-13,Mumbai,31.36,90.89,13.28
2025-02-14,Mumbai,27.07,83.41,11.15
2025-02-15,Mumbai,34.85,60.19,9.74
2025-02-16,Mumbai,25.85,86.56,0.0
2025-02-17,Mumbai,33.3,78.16,0.0
2025-02-18,Mumbai,34.06,86.59,18.99
2025-02-19,Mumbai,27.28,83.2,4.85
2025-02-20,Mumbai,32.12,86.52,0.0
2025-02-21,Mumbai,34.59,68.05,11.72
2025-02-22,Mumbai,22.19,91.84,0.0
2025-02-23,Mumbai,21.16,72.57,0.0
2025-02-24,Mumbai,30.52,90.94,0.0
2025-02-25,Mumbai,31.86,77.86,15.03
2025-02-26,Mumbai,20.97,83.56,0.0
2025-02-27,Mumbai,30.95,93.6,0.0
2025-02-28,Mumbai,29.35,73.33,0.0
2025-03-01,Mumbai,24.82,79.98,0.0
2025-03-02,Mumbai,22.76,86.21,0.0
2025-03-03,Mumbai,23.77,89.26,0.0
2025-03-04,Mumbai,34.96,75.34,0.0
2025-03-05,Mumbai,27.83,63.46,0.0
2025-03-06,Mumbai,23.66,63.86,0.0
2025-03-07,Mumbai,24.76,90.51,0.0
2025-03-08,Mumbai,23.25,61.75,16.03
2025-03-09,Mumbai,21.21,72.53,0.0
2025-03-10,Mumbai,31.75,69.05,0.0
2025-03-11,Mumbai,28.12,88.93,0.05
2025-03-12,Mumbai,30.61,72.82,0.0
2025-03-13,Mumbai,31.31,77.55,13.93
2025-03-14,Mumbai,22.19,68.32,0.0
2025-03-15,Mumbai,26.78,65.17,0.0
2025-03-16,Mumbai,34.96,60.96,0.0
2025-03-17,Mumbai,30.94,87.32,0.0
2025-03-18,Mumbai,32.44,72.7,0.0
2025-03-19,Mumbai,31.12,93.28,0.0
2025-03-20,Mumbai,22.57,60.47,0.0
2025-03-21,Mumbai,34.45,87.1,0.0
2025-03-22,Mumbai,22.77,71.69,0.0
2025-03-23,Mumbai,26.17,72.34,0.0
2025-03-24,Mumbai,21.97,66.79,14.57
2025-03-25,Mumbai,25.78,71.9,0.0
2025-03-26,Mumbai,31.44,66.78,3.05
2025-03-27,Mumbai,30.27,68.92,0.0
2025-03-28,Mumbai,23.08,89.88,0.0
2025-03-29,Mumbai,33.83,90.55,0.0
2025-03-30,Mumbai,21.95,90.12,14.86
2025-03-31,Mumbai,23.49,66.8,0.0
2025-04-01,Mumbai,32.06,92.56,0.0
2025-04-02,Mumbai,30.09,66.35,0.0
2025-04-03,Mumbai,24.08,68.52,0.0
2025-04-04,Mumbai,23.08,86.24,0.0
2025-04-05,Mumbai,31.06,69.98,0.0
2025-04-06,Mumbai,26.5,86.92,0.0
2025-04-07,Mumbai,25.27,76.64,19.42
2025-04-08,Mumbai,31.2,61.25,0.0
2025-04-09,Mumbai,26.84,76.87,0.0
2025-04-10,Mumbai,33.48,72.15,0.0
2025-04-11,Mumbai,34.04,94.88,0.0
2025-04-12,Mumbai,25.5,92.98,0.0
2025-04-13,Mumbai,20.82,90.83,0.0
2025-04-14,Mumbai,33.81,91.85,0.0
2025-04-15,Mumbai,24.26,70.12,0.0
2025-04-16,Mumbai,31.27,65.92,11.87
2025-04-17,Mumbai,21.36,63.23,0.0
2025-04-18,Mumbai,28.45,74.57,5.67
2025-04-19,Mumbai,26.82,82.26,0.0
2025-04-20,Mumbai,21.87,78.28,0.0
2025-04-21,Mumbai,22.87,89.31,0.0
2025-04-22,Mumbai,28.11,81.28,0.0
2025-04-23,Mumbai,28.91,65.66,0.0
2025-04-24,Mumbai,29.57,76.44,6.23
2025-04-25,Mumbai,29.24,76.21,0.0
2025-04-26,Mumbai,27.74,92.92,3.09
2025-04-27,Mumbai,28.91,70.99,0.0
2025-04-28,Mumbai,34.31,85.84,16.94
2025-04-29,Mumbai,31.91,83.36,0.0
2025-04-30,Mumbai,33.05,94.91,6.41
2025-05-01,Mumbai,22.46,83.07,0.0
2025-05-02,Mumbai,22.21,60.35,0.0
2025-05-03,Mumbai,29.25,75.84,0.0
2025-05-04,Mumbai,20.36,88.5,0.0
2025-05-05,Mumbai,30.79,79.35,0.0
2025-05-06,Mumbai,32.68,87.17,17.11
2025-05-07,Mumbai,28.27,61.73,11.55
2025-05-08,Mumbai,21.43,93.81,0.0
2025-05-09,Mumbai,26.06,86.95,8.43
2025-05-10,Mumbai,30.96,68.06,0.0
2025-05-11,Mumbai,31.1,72.37,0.0
2025-05-12,Mumbai,30.04,67.45,5.27
2025-05-13,Mumbai,30.11,74.51,1.67
2025-05-14,Mumbai,32.25,69.06,0.0
2025-05-15,Mumbai,27.27,85.73,0.0
2025-05-16,Mumbai,27.79,74.46,0.0
2025-05-17,Mumbai,20.19,90.0,6.42
2025-05-18,Mumbai,29.71,80.72,0.0
2025-05-19,Mumbai,26.64,68.18,0.0
2025-05-20,Mumbai,32.46,91.06,19.96
2025-05-21,Mumbai,20.43,69.2,0.0
2025-05-22,Mumbai,22.68,71.43,0.0
2025-05-23,Mumbai,27.92,62.49,0.0
2025-05-24,Mumbai,20.61,92.43,5.31
2025-05-25,Mumbai,31.3,92.78,0.0
2025-05-26,Mumbai,23.14,66.19,0.0
2025-05-27,Mumbai,27.51,65.19,2.78
2025-05-28,Mumbai,30.64,94.09,0.0
2025-05-29,Mumbai,21.73,76.71,0.0
2025-05-30,Mumbai,26.23,92.33,0.0
2025-05-31,Mumbai,23.7,75.27,0.0
2025-06-01,Mumbai,30.22,85.76,0.0
2025-06-02,Mumbai,20.21,72.49,0.0
2025-06-03,Mumbai,21.01,75.04,0.0
2025-06-04,Mumbai,28.84,78.24,14.54
2025-06-05,Mumbai,30.5,64.66,0.0
2025-06-06,Mumbai,24.14,93.14,0.0
2025-06-07,Mumbai,30.3,86.38,0.0
2025-06-08,Mumbai,32.06,60.77,11.32
2025-06-09,Mumbai,21.84,88.46,0.0
2025-06-10,Mumbai,20.28,71.36,0.0
2025-06-11,Mumbai,33.87,79.37,0.88
2025-06-12,Mumbai,32.72,85.85,13.06
2025-06-13,Mumbai,32.98,93.62,0.0
2025-06-14,Mumbai,33.72,70.91,0.0
2025-06-15,Mumbai,31.06,91.06,0.0
2025-06-16,Mumbai,30.73,69.25,0.0
2025-06-17,Mumbai,33.44,83.86,0.0
2025-06-18,Mumbai,24.98,71.68,5.77
2025-06-19,Mumbai,28.14,62.43,0.0
2025-06-20,Mumbai,26.94,72.15,0.0
2025-06-21,Mumbai,20.76,93.9,7.19
2025-06-22,Mumbai,27.26,70.07,12.97
2025-06-23,Mumbai,22.69,79.58,0.0
2025-06-24,Mumbai,26.37,67.91,0.0
2025-06-25,Mumbai,20.14,61.01,14.95
2025-06-26,Mumbai,29.23,85.2,0.0
2025-06-27,Mumbai,26.99,68.73,0.0
2025-06-28,Mumbai,28.47,69.34,0.0
2024-07-03,Delhi,26.27,86.38,37.76
2024-07-04,Delhi,27.75,93.83,0.0
2024-07-05,Delhi,27.96,71.13,46.83
2024-07-06,Delhi,23.19,84.9,23.32
2024-07-07,Delhi,30.3,97.62,29.54
2024-07-08,Delhi,30.12,87.04,16.25
2024-07-09,Delhi,26.88,88.84,36.26
2024-07-10,Delhi,22.75,89.24,0.0
2024-07-11,Delhi,31.1,80.32,0.0
2024-07-12,Delhi,25.58,90.06,32.32
2024-07-13,Delhi,22.33,73.69,22.55
2024-07-14,Delhi,25.08,87.03,0.0
2024-07-15,Delhi,27.08,96.83,0.0
2024-07-16,Delhi,30.66,83.05,29.34
2024-07-17,Delhi,25.55,74.12,28.43
2024-07-18,Delhi,26.66,91.73,16.3
2024-07-19,Delhi,31.13,84.13,28.27
2024-07-20,Delhi,25.18,82.97,23.59
2024-07-21,Delhi,30.18,90.66,12.86
2024-07-22,Delhi,27.2,90.24,28.86
2024-07-23,Delhi,25.3,77.94,0.0
2024-07-24,Delhi,31.66,86.33,30.04
2024-07-25,Delhi,30.17,70.77,25.09
2024-07-26,Delhi,24.4,91.89,32.45
2024-07-27,Delhi,25.09,73.13,32.76
2024-07-28,Delhi,29.85,78.92,23.29
2024-07-29,Delhi,29.33,89.99,35.46
2024-07-30,Delhi,24.16,91.55,47.58
2024-07-31,Delhi,24.08,90.5,0.0
2024-08-01,Delhi,24.03,83.62,42.42
2024-08-02,Delhi,25.83,73.31,30.21
2024-08-03,Delhi,25.94,71.57,33.34
2024-08-04,Delhi,28.93,84.31,11.86
2024-08-05,Delhi,30.74,92.87,29.56
2024-08-06,Delhi,23.84,93.29,0.0
2024-08-07,Delhi,22.14,95.67,49.42
2024-08-08,Delhi,22.55,70.86,40.75
2024-08-09,Delhi,28.17,79.21,48.34
2024-08-10,Delhi,30.95,71.59,0.0
2024-08-11,Delhi,23.52,95.68,7.7
2024-08-12,Delhi,27.67,87.25,40.99
2024-08-13,Delhi,29.99,90.81,44.56
2024-08-14,Delhi,30.55,88.44,35.47
2024-08-15,Delhi,26.98,73.67,0.0
2024-08-16,Delhi,23.13,85.34,14.94
2024-08-17,Delhi,30.95,97.96,0.0
2024-08-18,Delhi,29.94,90.12,34.5
2024-08-19,Delhi,27.72,85.75,44.68
2024-08-20,Delhi,24.08,85.04,22.29
2024-08-21,Delhi,24.34,84.41,37.9
2024-08-22,Delhi,23.32,74.74,29.97
2024-08-23,Delhi,31.49,88.39,0.0
2024-08-24,Delhi,22.95,89.58,38.69
2024-08-25,Delhi,29.17,95.47,26.24
2024-08-26,Delhi,27.9,83.25,31.97
2024-08-27,Delhi,29.82,71.71,0.0
2024-08-28,Delhi,27.62,94.57,32.85
2024-08-29,Delhi,23.38,70.25,41.29
2024-08-30,Delhi,28.6,84.63,8.2
2024-08-31,Delhi,31.09,94.6,0.0
2024-09-01,Delhi,22.98,89.37,12.6
2024-09-02,Delhi,25.69,77.53,37.86
2024-09-03,Delhi,25.52,77.98,20.78
2024-09-04,Delhi,28.79,96.7,14.13
2024-09-05,Delhi,29.4,87.09,25.26
2024-09-06,Delhi,26.75,96.53,23.2
2024-09-07,Delhi,23.01,82.92,0.0
2024-09-08,Delhi,25.49,78.12,24.97
2024-09-09,Delhi,29.53,95.55,42.71
2024-09-10,Delhi,22.17,90.44,0.0
2024-09-11,Delhi,26.4,77.32,23.75
2024-09-12,Delhi,24.13,89.8,9.82
2024-09-13,Delhi,26.3,74.66,43.8
2024-09-14,Delhi,26.11,88.82,45.18
2024-09-15,Delhi,28.17,75.93,0.0
2024-09-16,Delhi,26.56,86.4,15.28
2024-09-17,Delhi,30.51,79.27,23.95
2024-09-18,Delhi,28.02,86.45,0.0
2024-09-19,Delhi,30.38,86.34,0.0
2024-09-20,Delhi,27.02,88.05,44.7
2024-09-21,Delhi,25.08,91.33,0.0
2024-09-22,Delhi,24.77,77.25,7.25
2024-09-23,Delhi,23.51,78.11,20.75
2024-09-24,Delhi,27.69,88.81,0.0
2024-09-25,Delhi,25.6,92.47,24.89
2024-09-26,Delhi,26.06,96.99,0.0
2024-09-27,Delhi,23.53,94.73,0.0
2024-09-28,Delhi,22.05,95.38,49.73
2024-09-29,Delhi,28.97,79.74,0.0
2024-09-30,Delhi,31.2,74.03,0.0
2024-10-01,Delhi,27.04,64.21,0.0
2024-10-02,Delhi,20.33,68.93,0.0
2024-10-03,Delhi,21.43,56.91,0.0
2024-10-04,Delhi,27.56,59.84,0.0
2024-10-05,Delhi,24.64,59.77,0.0
2024-10-06,Delhi,21.55,78.05,0.0
2024-10-07,Delhi,20.24,55.36,0.0
2024-10-08,Delhi,22.51,66.66,0.0
2024-10-09,Delhi,26.31,68.15,0.0
2024-10-10,Delhi,27.05,50.68,0.0
2024-10-11,Delhi,27.12,65.71,0.0
2024-10-12,Delhi,29.9,52.46,0.0
2024-10-13,Delhi,20.53,77.91,0.0
2024-10-14,Delhi,25.5,72.92,0.0
2024-10-15,Delhi,27.74,81.85,0.0
2024-10-16,Delhi,25.04,71.51,0.0
2024-10-17,Delhi,28.02,64.43,0.0
2024-10-18,Delhi,27.04,52.52,0.0
2024-10-19,Delhi,27.14,78.94,0.0
2024-10-20,Delhi,23.24,71.35,0.0
2024-10-21,Delhi,23.92,61.42,9.62
2024-10-22,Delhi,25.34,77.26,0.0
2024-10-23,Delhi,24.34,76.61,0.72
2024-10-24,Delhi,29.43,74.83,0.0
2024-10-25,Delhi,22.21,71.05,0.0
2024-10-26,Delhi,26.73,62.94,7.83
2024-10-27,Delhi,26.75,66.62,0.0
2024-10-28,Delhi,28.99,71.57,0.6
2024-10-29,Delhi,25.38,64.62,1.81
2024-10-30,Delhi,29.29,70.23,0.0
2024-10-31,Delhi,24.69,68.92,0.0
2024-11-01,Delhi,27.43,70.56,0.0
2024-11-02,Delhi,29.83,72.13,0.0
2024-11-03,Delhi,28.94,62.01,0.0
2024-11-04,Delhi,26.24,65.83,0.0
2024-11-05,Delhi,20.08,78.31,0.0
2024-11-06,Delhi,27.41,84.39,0.0
2024-11-07,Delhi,21.91,66.31,5.3
2024-11-08,Delhi,29.13,73.51,0.0
2024-11-09,Delhi,25.49,81.33,0.0
2024-11-10,Delhi,28.33,82.98,0.0
2024-11-11,Delhi,23.96,53.66,0.0
2024-11-12,Delhi,27.59,83.7,0.0
2024-11-13,Delhi,26.59,72.73,0.0
2024-11-14,Delhi,20.74,64.67,0.0
2024-11-15,Delhi,24.9,62.51,0.0
2024-11-16,Delhi,25.83,60.1,5.9
2024-11-17,Delhi,29.51,69.28,6.96
2024-11-18,Delhi,28.5,80.0,0.0
2024-11-19,Delhi,24.9,50.46,0.0
2024-11-20,Delhi,24.52,80.31,1.81
2024-11-21,Delhi,27.94,75.86,0.0
2024-11-22,Delhi,20.73,64.0,6.3
2024-11-23,Delhi,22.09,50.11,9.89
2024-11-24,Delhi,24.24,77.06,0.0
2024-11-25,Delhi,22.54,65.18,0.6
2024-11-26,Delhi,22.25,74.42,0.0
2024-11-27,Delhi,21.91,69.23,0.0
2024-11-28,Delhi,22.83,61.43,0.0
2024-11-29,Delhi,29.2,53.8,3.24
2024-11-30,Delhi,23.11,53.27,5.65
2024-12-01,Delhi,20.72,57.66,0.0
2024-12-02,Delhi,19.57,43.2,0.0
2024-12-03,Delhi,15.2,54.2,0.0
2024-12-04,Delhi,10.93,57.32,0.0
2024-12-05,Delhi,10.11,64.3,0.0
2024-12-06,Delhi,18.93,57.28,0.0
2024-12-07,Delhi,13.5,68.23,0.0
2024-12-08,Delhi,14.77,66.62,0.0
2024-12-09,Delhi,13.74,65.61,0.0
2024-12-10,Delhi,15.65,62.92,0.0
2024-12-11,Delhi,23.33,62.54,0.0
2024-12-12,Delhi,14.8,76.42,0.0
2024-12-13,Delhi,15.07,76.72,0.0
2024-12-14,Delhi,24.61,41.54,0.17
2024-12-15,Delhi,16.6,67.89,0.0
2024-12-16,Delhi,21.02,46.45,0.0
2024-12-17,Delhi,12.29,46.86,0.0
2024-12-18,Delhi,14.73,48.64,0.0
2024-12-19,Delhi,17.17,68.05,0.0
2024-12-20,Delhi,15.71,64.32,1.65
2024-12-21,Delhi,13.14,49.95,0.0
2024-12-22,Delhi,17.42,52.54,0.0
2024-12-23,Delhi,12.21,51.99,4.69
2024-12-24,Delhi,23.56,50.36,0.0
2024-12-25,Delhi,14.62,47.45,0.0
2024-12-26,Delhi,22.82,54.08,0.0
2024-12-27,Delhi,15.74,58.29,0.0
2024-12-28,Delhi,12.42,79.35,0.0
2024-12-29,Delhi,22.23,78.55,0.0
2024-12-30,Delhi,17.19,42.12,0.0
2024-12-31,Delhi,21.51,60.73,0.0
2025-01-01,Delhi,12.87,45.74,0.0
2025-01-02,Delhi,17.65,53.63,0.0
2025-01-03,Delhi,14.87,60.36,0.0
2025-01-04,Delhi,10.39,76.47,0.0
2025-01-05,Delhi,18.37,42.57,0.0
2025-01-06,Delhi,22.19,55.17,0.0
2025-01-07,Delhi,19.49,48.26,0.0
2025-01-08,Delhi,14.38,58.38,2.03
2025-01-09,Delhi,15.22,67.59,0.0
2025-01-10,Delhi,19.78,68.88,2.26
2025-01-11,Delhi,16.49,55.6,0.0
2025-01-12,Delhi,18.75,49.32,0.0
2025-01-13,Delhi,18.4,47.23,0.0
2025-01-14,Delhi,11.97,49.59,0.0
2025-01-15,Delhi,13.61,72.21,0.0
2025-01-16,Delhi,17.75,67.1,0.0
2025-01-17,Delhi,23.91,79.39,0.0
2025-01-18,Delhi,16.0,51.39,0.0
2025-01-19,Delhi,17.31,40.96,0.0
2025-01-20,Delhi,11.16,59.34,0.0
2025-01-21,Delhi,21.01,48.93,0.0
2025-01-22,Delhi,13.22,51.08,0.0
