PurchaseID,ProductID,PurchaseDate,QuantityPurchased,CostOfPurchase,VendorInvoiceNumber
PUR0034,P2397,2024-08-02,41,14444.71,INV65838
PUR0035,P2105,2024-07-30,54,23986.8,INV73804
PUR0036,P2105,2025-04-23,174,58103.82,INV34136
PUR0037,P2410,2025-07-06,139,57110.93,INV51243
PUR0038,P1241,2025-01-03,114,28314.18,INV81248
PUR0039,P1241,2025-03-05,158,10916.22,INV21599
PUR0040,P1241,2025-05-12,136,4112.64,INV33916
PUR0041,P1043,2025-01-30,27,9010.71,INV74979
PUR0042,P1043,2025-05-14,182,63166.74,INV53641
PUR0043,P1043,2025-05-06,169,54360.54,INV58748
PUR0044,P1043,2024-12-27,144,69223.68,INV25105
PUR0045,P2346,2024-11-29,46,16945.48,INV31252
PUR0046,P2346,2025-02-04,147,3760.26,INV36547
PUR0047,P2160,2025-06-11,23,3340.75,INV89120
PUR0048,P1031,2025-01-08,177,47993.55,INV66265
PUR0049,P1031,2025-05-07,82,17681.66,INV95730
PUR0050,P1182,2025-05-21,33,4564.23,INV72693
PUR0051,P1182,2025-04-27,68,29802.36,INV90415
PUR0052,P1182,2024-08-07,33,4346.1,INV48546
PUR0053,P1182,2025-01-14,21,1176.0,INV80819
PUR0054,P1182,2025-04-11,22,2260.72,INV40237
PUR0055,P2354,2024-11-30,127,7589.52,INV96044
PUR0056,P1117,2024-09-20,196,19931.24,INV88629
PUR0057,P1117,2024-08-19,33,10620.72,INV96030
PUR0058,P1117,2025-04-19,89,5324.87,INV12574
PUR0059,P2299,2024-08-26,82,38537.54,INV22526
PUR0060,P2299,2024-09-05,41,13140.09,INV63085
PUR0061,P2299,2025-06-27,87,2397.72,INV57602
PUR0062,P2299,2024-10-25,91,40497.73,INV33198
PUR0063,P2299,2024-08-29,69,10548.72,INV64125
PUR0064,P2375,2025-02-23,98,36848.0,INV10671
PUR0065,P2375,2024-11-05,63,22858.92,INV27920
PUR0066,P2488,2024-10-18,35,4564.35,INV70660
PUR0067,P2488,2025-02-17,186,9067.5,INV38294
PUR0068,P2488,2025-02-02,116,7042.36,INV68989
PUR0069,P2488,2024-08-18,182,64513.54,INV21738
PUR0070,P2488,2025-07-01,34,9437.04,INV18566
PUR0071,P1610,2025-03-08,151,36387.98,INV53347
PUR0072,P1610,2025-06-11,55,23797.4,INV44678
PUR0073,P1610,2024-08-01,183,20100.72,INV82834
PUR0074,P1610,2024-11-08,165,57852.3,INV75258
PUR0075,P1168,2025-04-16,52,1657.76,INV31516
PUR0076,P1168,2024-11-03,16,2126.56,INV86373
PUR0077,P1168,2025-06-03,101,7832.55,INV56660
PUR0078,P2210,2025-01-06,117,31936.32,INV81415
PUR0079,P2210,2024-11-16,94,8811.56,INV74345
PUR0080,P1243,2024-07-21,194,26816.62,INV15460
PUR0081,P1734,2024-11-24,153,56799.72,INV21761
PUR0082,P1734,2024-12-16,101,674.68,INV45697
PUR0083,P1734,2025-01-08,149,43707.66,INV90708
PUR0084,P2185,2024-08-24,190,24584.1,INV80006
PUR0085,P2185,2025-03-10,142,13329.54,INV68844
PUR0086,P2185,2024-12-04,156,42992.04,INV40549
PUR0087,P2104,2025-06-07,14,4341.68,INV67270
PUR0088,P2104,2025-05-08,52,18907.72,INV25343
PUR0089,P1266,2024-07-26,34,9491.1,INV74487
PUR0090,P1266,2024-11-09,97,37300.38,INV26022
PUR0091,P1266,2025-02-23,65,780.65,INV59204
PUR0092,P1266,2024-07-23,47,9289.08,INV69136
PUR0093,P1266,2024-12-26,122,19990.92,INV29727
PUR0094,P1859,2024-11-25,59,24102.09,INV40602
PUR0095,P1859,2025-02-10,74,33525.7,INV73885
PUR0096,P1859,2025-04-08,178,66050.46,INV56900
PUR0097,P1859,2024-12-15,137,9443.41,INV39126
PUR0098,P1967,2025-01-18,41,5259.48,INV52998
PUR0099,P1845,2025-02-19,112,44580.48,INV27800
PUR0100,P1845,2025-01-14,106,23824.56,INV16342
PUR0101,P1740,2025-03-30,119,13870.64,INV89085
PUR0102,P2301,2025-04-12,145,1186.1,INV79393
PUR0103,P2301,2024-07-09,127,60661.55,INV79977
PUR0104,P2301,2025-07-08,106,46537.18,INV28515
PUR0105,P2301,2025-05-26,19,7217.91,INV72177
PUR0106,P2264,2024-11-25,81,13629.87,INV80244
PUR0107,P2264,2024-10-12,58,22664.66,INV10395
PUR0108,P2264,2024-09-27,64,13264.64,INV11934
PUR0109,P2264,2024-10-12,107,2525.2,INV43977
PUR0110,P1867,2025-05-17,14,3127.88,INV32373
PUR0111,P1773,2024-12-24,124,5443.6,INV11389
PUR0112,P1773,2024-10-29,17,6875.99,INV88702
PUR0113,P1773,2025-04-25,68,31729.48,INV74067
PUR0114,P1773,2024-11-04,25,4979.5,INV21233
PUR0115,P2401,2025-03-27,158,11698.32,INV47077
PUR0116,P2401,2025-01-21,140,26819.8,INV50377
PUR0117,P2401,2024-07-23,17,3752.58,INV10308
PUR0118,P2401,2025-01-31,91,18816.98,INV81101
PUR0119,P2401,2025-04-30,147,7411.74,INV15914
PUR0120,P2072,2024-11-10,49,10701.11,INV70233
PUR0121,P2072,2024-07-18,104,4948.32,INV66218
PUR0122,P2072,2025-02-11,37,5798.27,INV57664
PUR0123,P2072,2025-06-11,53,22019.38,INV18710
PUR0124,P2072,2025-04-02,67,27775.52,INV14193
PUR0125,P2260,2025-06-08,118,53587.34,INV74089
PUR0126,P1005,2025-03-19,171,14076.72,INV72721
PUR0127,P1005,2025-05-26,81,12522.6,INV37381
PUR0128,P1005,2025-03-17,83,39204.22,INV97247
PUR0129,P1422,2024-12-21,63,10311.84,INV73515
PUR0130,P1422,2024-08-23,110,28396.5,INV52377
PUR0131,P1422,2025-02-23,45,1816.2,INV62794
PUR0132,P1422,2025-05-18,103,5429.13,INV40182
PUR0133,P2359,2025-02-09,17,2913.97,INV18937
PUR0134,P2315,2025-04-01,166,38090.36,INV82585
PUR0135,P2315,2025-02-16,133,28398.16,INV71997
PUR0136,P1094,2024-12-12,73,25602.56,INV30678
PUR0137,P1094,2024-07-18,69,16740.78,INV71732
PUR0138,P1094,2025-06-14,99,40989.96,INV21069
PUR0139,P1094,2024-09-13,198,75663.72,INV32659
PUR0140,P2399,2025-02-16,97,27114.41,INV40538
PUR0141,P2250,2024-08-01,79,10306.34,INV73501
PUR0142,P2250,2024-08-30,56,8973.44,INV95195
PUR0143,P2250,2025-06-29,11,5324.99,INV10796
PUR0144,P2250,2025-05-15,14,5573.82,INV10319
PUR0145,P2250,2024-10-21,148,34837.72,INV62831
PUR0146,P1754,2025-05-25,189,18928.35,INV76543
PUR0147,P1298,2024-10-06,153,29816.64,INV52319
PUR0148,P1252,2024-09-29,110,30611.9,INV81806
PUR0149,P1973,2024-10-28,102,33066.36,INV40250
PUR0150,P1973,2025-06-16,146,15227.8,INV25443
PUR0151,P2169,2025-01-20,113,26758.4,INV22079
PUR0152,P2169,2025-04-27,194,61703.64,INV50814
PUR0153,P2169,2025-07-04,101,28499.17,INV58632
PUR0154,P2169,2024-09-04,178,56947.54,INV65094
PUR0155,P2169,2025-05-21,91,6399.12,INV66813
PUR0156,P2007,2025-02-18,200,1108.0,INV96239
PUR0157,P2007,2025-06-13,88,34003.2,INV56682
PUR0158,P2007,2024-08-22,128,42105.6,INV16002
PUR0159,P2007,2024-07-26,52,11966.24,INV79470
PUR0160,P1631,2024-07-21,60,21147.0,INV94359
PUR0161,P1631,2024-08-11,200,29760.0,INV11517
PUR0162,P1631,2025-01-14,126,23065.56,INV98111
PUR0163,P1233,2024-12-16,68,8757.72,INV25451
PUR0164,P1233,2025-04-12,180,83219.4,INV29718
PUR0165,P1233,2024-12-24,94,43600.96,INV44572
PUR0166,P2144,2024-08-13,53,2834.97,INV62456
PUR0167,P2144,2024-09-21,119,58624.16,INV17970
PUR0168,P2144,2024-09-29,33,12759.78,INV34490
PUR0169,P2144,2024-12-07,168,6078.24,INV30625
PUR0170,P1502,2025-02-28,131,4456.62,INV28534
PUR0171,P1420,2024-07-15,133,22725.71,INV97767
PUR0172,P1420,2024-07-29,91,20417.67,INV54712
PUR0173,P1420,2024-12-28,163,14634.14,INV49901
PUR0174,P1420,2024-11-25,31,9937.67,INV78654
PUR0175,P2227,2024-12-13,93,18683.7,INV30572
PUR0176,P2227,2024-11-22,116,1714.48,INV35568
PUR0177,P1644,2024-07-20,73,10963.14,INV41381
PUR0178,P2307,2025-07-02,150,17230.5,INV71878
PUR0179,P2307,2024-07-21,33,15369.42,INV27273
PUR0180,P2307,2025-04-02,22,1242.56,INV34407
PUR0181,P1948,2024-11-26,165,55897.05,INV27516
PUR0182,P1948,2025-05-30,41,1161.12,INV29310
PUR0183,P1948,2024-11-13,23,1527.89,INV20468
PUR0184,P1474,2024-10-21,49,5892.25,INV28623
PUR0185,P1474,2025-04-23,34,12017.64,INV48488
PUR0186,P1474,2025-04-12,187,69031.05,INV80390
PUR0187,P2243,2025-05-10,74,17633.46,INV58635
PUR0188,P2243,2025-01-02,49,19749.45,INV19632
PUR0189,P2243,2025-01-22,134,16531.58,INV96016
PUR0190,P1155,2025-01-22,199,91639.5,INV92553
PUR0191,P1155,2024-12-22,26,7604.48,INV65733
PUR0192,P1623,2024-08-28,167,45884.92,INV70937
PUR0193,P1554,2024-10-30,188,17722.76,INV78892
PUR0194,P2108,2024-07-14,93,4353.33,INV47647
PUR0195,P2108,2025-04-03,174,31890.72,INV61875
PUR0196,P2108,2024-09-01,141,24158.94,INV27792
PUR0197,P2108,2025-05-08,156,7261.8,INV62573
PUR0198,P2108,2025-03-19,139,27287.09,INV60177
PUR0199,P1018,2025-04-05,91,36329.02,INV17457
PUR0200,P1121,2025-06-20,145,66015.6,INV10507
PUR0201,P1121,2024-09-15,174,13702.5,INV92925
PUR0202,P1121,2025-04-27,32,4209.92,INV11725
PUR0203,P2381,2025-01-14,22,8952.46,INV31261
PUR0204,P2434,2025-02-11,104,28702.96,INV87438
PUR0205,P2434,2025-04-09,23,6283.83,INV80811
PUR0206,P2434,2025-02-04,148,35557.0,INV96898
PUR0207,P2434,2025-04-12,160,67209.6,INV62071
PUR0208,P2434,2024-10-15,186,59118.24,INV99092
PUR0209,P2171,2024-08-03,77,20536.67,INV58234
PUR0210,P2171,2024-08-11,99,30808.8,INV17955
PUR0211,P2171,2024-10-09,166,5341.88,INV44758
PUR0212,P2171,2024-07-16,175,81721.5,INV82215
PUR0213,P1407,2025-02-25,136,18323.28,INV26791
PUR0214,P1831,2025-03-23,132,18697.8,INV14280
PUR0215,P1831,2024-11-23,181,83967.71,INV35726
PUR0216,P1831,2024-09-16,107,51531.2,INV48199
PUR0217,P1831,2025-03-07,179,18990.11,INV87755
PUR0218,P2402,2024-11-24,15,3635.25,INV26032
PUR0219,P1933,2024-08-26,148,23518.68,INV77242
PUR0220,P1933,2025-03-15,112,54051.2,INV29001
PUR0221,P1933,2025-01-31,70,24782.1,INV95533
PUR0222,P1933,2024-09-27,161,887.11,INV24070
PUR0223,P1964,2025-04-25,41,7090.95,INV57959
PUR0224,P1964,2025-03-28,165,16376.25,INV25449
PUR0225,P1964,2025-02-17,105,29988.0,INV64800
PUR0226,P2205,2024-11-17,78,25701.0,INV43646
PUR0227,P2205,2024-07-24,136,42570.72,INV66918
PUR0228,P1686,2024-10-08,64,4397.44,INV92929
PUR0229,P1686,2025-03-28,100,14698.0,INV31365
PUR0230,P1686,2024-08-24,79,37465.75,INV23181
PUR0231,P1686,2025-01-07,97,1004.92,INV51592
PUR0232,P1709,2024-09-08,154,15529.36,INV78932
PUR0233,P2156,2024-09-18,21,7775.46,INV65805
PUR0234,P2156,2025-01-23,111,46739.88,INV50941
PUR0235,P2156,2024-08-05,62,8423.94,INV53304
PUR0236,P2156,2024-07-15,23,8598.55,INV44940
PUR0237,P2068,2025-06-25,101,9167.77,INV60950
PUR0238,P1068,2024-12-22,57,13957.02,INV24381
PUR0239,P1068,2024-09-27,174,16141.98,INV96302
PUR0240,P1068,2024-09-28,161,64596.42,INV58184
PUR0241,P1068,2024-11-21,43,18989.23,INV71405
PUR0242,P1068,2025-02-01,34,15770.9,INV37964
PUR0243,P1029,2025-06-08,198,90489.96,INV39326
PUR0244,P1029,2025-01-31,153,72401.13,INV97485
PUR0245,P1029,2024-09-14,53,20925.46,INV38099
PUR0246,P1029,2024-09-07,74,14689.74,INV52841
PUR0247,P1029,2025-03-28,184,30043.52,INV18023
PUR0248,P2415,2025-01-21,117,33804.81,INV48236
PUR0249,P2415,2024-12-14,199,49234.59,INV51974
PUR0250,P2415,2024-11-23,88,15590.96,INV10132
PUR0251,P2415,2024-09-04,30,2842.8,INV46502
PUR0252,P1601,2024-09-16,172,7991.12,INV31064
PUR0253,P1601,2024-12-13,119,25109.0,INV93990
PUR0254,P1601,2025-05-04,99,12726.45,INV45652
PUR0255,P1601,2024-12-11,184,51895.36,INV39079
PUR0256,P2224,2024-09-18,84,27686.4,INV40595
PUR0257,P2224,2024-11-21,161,29292.34,INV91898
PUR0258,P1591,2025-04-03,79,24382.56,INV54901
PUR0259,P1591,2025-04-26,128,30261.76,INV14521
PUR0260,P1138,2024-12-10,32,8329.28,INV99836
PUR0261,P1138,2024-08-21,118,12753.44,INV56302
PUR0262,P1138,2025-03-30,112,50038.24,INV58430
PUR0263,P1138,2024-08-20,174,30491.76,INV83748
PUR0264,P1138,2025-04-10,20,5824.6,INV23113
PUR0265,P1035,2024-10-25,56,25621.12,INV69612
PUR0266,P2327,2024-08-08,58,21547.0,INV78748
PUR0267,P1893,2025-03-28,15,7168.05,INV35123
PUR0268,P1893,2024-07-13,87,12985.62,INV87829
PUR0269,P1893,2025-03-14,94,15568.28,INV25888
PUR0270,P1893,2024-08-12,33,4485.36,INV90549
PUR0271,P1893,2024-09-28,15,4486.8,INV29653
PUR0272,P1561,2024-07-27,195,5167.5,INV74525
PUR0273,P1561,2025-06-03,134,24571.58,INV99304
PUR0274,P1561,2024-08-01,95,45935.35,INV81979
PUR0275,P1561,2025-04-08,176,51566.24,INV65412
PUR0276,P2496,2025-05-14,55,17433.9,INV75961
PUR0277,P2496,2025-03-25,197,41695.05,INV66129
PUR0278,P2496,2024-09-01,46,5657.08,INV34318
PUR0279,P2496,2025-01-25,50,17739.0,INV60474
PUR0280,P2496,2024-12-23,198,9755.46,INV23190
PUR0281,P1008,2024-12-30,71,21110.43,INV27447
PUR0282,P1463,2024-11-10,52,17992.0,INV77694
PUR0283,P1463,2024-07-27,177,81974.01,INV79600
PUR0284,P1463,2025-01-08,175,41833.75,INV16272
PUR0285,P1463,2025-03-07,132,21147.72,INV90600
PUR0286,P1920,2025-02-26,55,10990.1,INV99140
PUR0287,P2353,2024-10-18,163,73773.8,INV43054
PUR0288,P2353,2025-04-24,68,29561.64,INV13689
PUR0289,P2353,2024-07-19,33,5318.28,INV10919
PUR0290,P2164,2024-10-09,158,67026.76,INV77877
PUR0291,P1814,2024-08-03,63,13459.32,INV39149
PUR0292,P1814,2024-08-14,25,5620.0,INV96027
PUR0293,P1963,2025-04-24,90,2223.9,INV93429
PUR0294,P1730,2024-08-19,31,3752.86,INV51926
PUR0295,P1730,2024-07-24,121,7390.68,INV50884
PUR0296,P1730,2024-09-28,33,10832.58,INV37260
PUR0297,P1730,2024-07-27,177,53163.72,INV84767
PUR0298,P1635,2025-04-15,55,27165.05,INV16703
PUR0299,P2335,2024-08-28,62,29453.72,INV72096
PUR0300,P2335,2024-10-08,108,16563.96,INV98471
PUR0301,P2273,2025-05-29,136,55123.52,INV28985
PUR0302,P2273,2024-09-09,124,14160.8,INV73338
PUR0303,P2273,2025-02-25,88,25362.48,INV87562
PUR0304,P1015,2025-05-13,81,6062.85,INV32775
PUR0305,P1015,2024-10-02,182,27254.5,INV28337
PUR0306,P1015,2025-05-21,47,12275.46,INV91661
PUR0307,P1015,2025-01-04,177,51652.14,INV68525
PUR0308,P1015,2024-09-01,74,24459.22,INV87728
PUR0309,P2373,2025-01-31,67,5579.76,INV80616
PUR0310,P1443,2025-01-13,15,5503.35,INV81220
PUR0311,P2014,2025-01-28,156,44269.68,INV63730
PUR0312,P2014,2024-11-07,51,8031.99,INV53125
PUR0313,P2014,2025-03-23,45,2640.6,INV35506
PUR0314,P2014,2024-08-17,52,1748.76,INV68536
PUR0315,P2014,2025-03-06,188,60250.24,INV85512
PUR0316,P2492,2025-07-02,142,66823.78,INV51699
PUR0317,P2492,2025-05-31,55,26886.75,INV84328
PUR0318,P2214,2025-05-18,23,9796.62,INV99566
PUR0319,P1262,2024-12-04,145,2244.6,INV24880
PUR0320,P1262,2024-08-29,191,72744.26,INV21246
PUR0321,P1262,2025-03-29,157,73176.13,INV47126
PUR0322,P1262,2024-12-02,183,81376.44,INV63364
PUR0323,P1262,2024-08-01,119,56411.95,INV60748
PUR0324,P2371,2025-04-24,157,63589.71,INV90575
PUR0325,P2371,2025-06-21,50,23970.0,INV29941
PUR0326,P2371,2024-07-24,185,49644.75,INV53116
PUR0327,P2371,2025-03-11,197,73116.55,INV65781
PUR0328,P1585,2024-12-26,185,52680.6,INV97054
PUR0329,P1585,2025-03-21,131,57236.52,INV51390
PUR0330,P1585,2025-06-20,52,13814.32,INV73468
PUR0331,P2046,2024-11-19,113,45343.51,INV63924
PUR0332,P2046,2024-09-20,23,2576.46,INV20209
PUR0333,P2046,2025-05-08,181,24082.05,INV65266
PUR0334,P2046,2024-10-05,164,60847.28,INV88309
PUR0335,P2046,2025-06-02,43,15366.91,INV46735
PUR0336,P1156,2025-03-13,101,14007.69,INV48876
PUR0337,P1156,2024-12-20,89,37368.43,INV71496
PUR0338,P1156,2024-12-11,58,27255.36,INV80403
PUR0339,P1329,2024-08-03,22,8177.4,INV63291
PUR0340,P1633,2025-01-04,190,52014.4,INV60503
PUR0341,P1633,2024-12-19,121,1979.56,INV30301
PUR0342,P1478,2025-01-22,175,43240.75,INV60435
PUR0343,P1478,2024-07-17,58,7563.78,INV56061
PUR0344,P1478,2025-01-15,15,6830.1,INV55197
PUR0345,P2470,2024-12-17,135,33268.05,INV53602
PUR0346,P2470,2024-11-12,52,24228.36,INV87999
PUR0347,P2470,2025-05-22,143,35355.32,INV19350
PUR0348,P2470,2024-09-01,148,63243.36,INV96388
PUR0349,P1536,2025-01-17,114,51386.64,INV24815
PUR0350,P1536,2025-06-30,169,12348.83,INV24112
PUR0351,P1536,2025-04-29,175,76184.5,INV74657
PUR0352,P2178,2025-06-17,62,1119.1,INV80892
PUR0353,P2178,2024-08-21,191,91410.69,INV25593
PUR0354,P1356,2025-06-24,108,929.88,INV17569
PUR0355,P1356,2025-06-19,175,68806.5,INV87700
PUR0356,P2292,2025-01-10,69,31191.45,INV21034
PUR0357,P2292,2025-07-04,134,39718.94,INV28043
PUR0358,P2292,2024-08-24,190,67567.8,INV66529
PUR0359,P2292,2025-04-06,179,48952.92,INV23217
PUR0360,P1391,2025-04-21,146,47888.0,INV20351
PUR0361,P1391,2025-06-08,114,41901.84,INV64998
PUR0362,P1391,2024-08-11,62,30055.74,INV34256
PUR0363,P1391,2025-05-31,21,3277.26,INV35318
PUR0364,P2031,2025-06-10,127,41742.36,INV42768
PUR0365,P2031,2024-11-13,105,5174.4,INV26348
PUR0366,P2031,2025-04-08,47,15898.22,INV39642
PUR0367,P1572,2025-03-26,101,19710.15,INV68468
PUR0368,P1572,2025-02-05,22,1515.36,INV37060
PUR0369,P2466,2024-10-17,97,23439.08,INV90511
PUR0370,P2466,2025-03-06,154,6136.9,INV13853
PUR0371,P2466,2025-01-26,56,7508.48,INV91532
PUR0372,P2466,2024-09-27,13,3050.58,INV53933
PUR0373,P1589,2024-08-21,113,48486.04,INV74452
PUR0374,P1589,2025-02-01,43,18580.73,INV80815
PUR0375,P1589,2025-05-17,24,7758.24,INV85239
PUR0376,P1666,2024-12-19,127,55452.01,INV66240
PUR0377,P1666,2024-10-18,56,7216.16,INV35165
PUR0378,P1666,2024-11-30,66,18072.78,INV34012
PUR0379,P1275,2024-11-19,48,16363.2,INV26775
PUR0380,P1275,2025-04-01,101,32883.58,INV35124
PUR0381,P1275,2025-05-18,65,17065.75,INV32081
PUR0382,P1275,2025-01-16,63,25395.93,INV55734
PUR0383,P1275,2025-02-28,121,56181.51,INV40815
PUR0384,P2419,2025-04-29,126,2797.2,INV81716
PUR0385,P2411,2024-08-06,197,18340.7,INV98815
PUR0386,P2411,2024-08-26,106,17418.98,INV90503
PUR0387,P2411,2024-08-12,79,1158.14,INV16571
PUR0388,P2411,2024-08-08,103,2009.53,INV17657
PUR0389,P2411,2024-10-12,105,1178.1,INV95981
PUR0390,P2052,2024-12-14,49,7685.65,INV32075
PUR0391,P2052,2025-04-24,111,39366.15,INV29258
PUR0392,P2052,2025-04-22,192,27196.8,INV30637
PUR0393,P1271,2025-07-07,36,3130.92,INV14502
PUR0394,P1271,2025-02-02,106,37865.32,INV78360
PUR0395,P1271,2024-09-10,151,63423.02,INV19994
PUR0396,P1093,2024-10-10,133,47371.94,INV35928
PUR0397,P1093,2025-05-09,166,82098.62,INV49974
PUR0398,P1093,2024-12-06,158,21110.38,INV86434
PUR0399,P2363,2024-11-20,187,54615.22,INV59094
PUR0400,P2363,2024-08-24,103,26925.23,INV80005
PUR0401,P2363,2025-05-10,195,88140.0,INV97995
PUR0402,P1092,2024-07-30,121,21371.02,INV47955
PUR0403,P1092,2025-02-19,32,13471.68,INV17052
PUR0404,P1092,2025-06-20,148,12470.48,INV44183
PUR0405,P1092,2024-11-01,35,6626.9,INV50451
PUR0406,P1092,2024-11-20,20,1199.8,INV34989
PUR0407,P2206,2025-06-20,178,76200.02,INV22898
PUR0408,P2206,2025-03-30,119,42438.97,INV17038
PUR0409,P2206,2024-08-25,63,1127.7,INV27208
PUR0410,P2206,2025-04-19,109,23784.89,INV82814
PUR0411,P1095,2025-06-16,65,22318.4,INV95128
PUR0412,P2374,2025-02-13,62,8756.88,INV65094
PUR0413,P2374,2024-08-07,200,12944.0,INV33060
PUR0414,P2374,2024-09-05,175,31111.5,INV74665
PUR0415,P2374,2024-12-01,199,55065.29,INV74602
PUR0416,P2374,2025-02-24,143,57571.8,INV19556
PUR0417,P1930,2024-12-01,192,43777.92,INV87394
PUR0418,P1930,2025-01-30,105,30490.95,INV50191
PUR0419,P1477,2025-01-04,131,11922.31,INV91496
PUR0420,P1477,2024-11-26,137,39327.22,INV91952
PUR0421,P2232,2025-03-09,117,2788.11,INV61936
PUR0422,P2232,2024-07-08,157,44228.47,INV78156
PUR0423,P2232,2025-04-23,193,2246.52,INV81837
PUR0424,P2232,2025-03-02,103,31908.37,INV85681
PUR0425,P2389,2024-08-02,135,25953.75,INV68597
PUR0426,P2389,2025-04-22,171,44261.64,INV34906
PUR0427,P2389,2025-01-20,177,37909.86,INV71539
PUR0428,P2389,2024-12-24,27,2406.51,INV98403
PUR0429,P1340,2025-01-24,114,36609.96,INV92949
PUR0430,P1340,2025-05-07,180,56759.4,INV15142
PUR0431,P1340,2024-12-18,43,17611.51,INV88958
PUR0432,P1028,2025-01-10,60,27981.6,INV15985
PUR0433,P1028,2024-11-11,99,25733.07,INV79560
PUR0434,P1028,2024-09-03,25,263.75,INV51127
PUR0435,P1028,2024-10-30,72,13938.48,INV88653
PUR0436,P1028,2024-11-22,180,46351.8,INV61274
PUR0437,P1783,2024-08-17,90,31424.4,INV80605
PUR0438,P1783,2025-01-08,180,80830.8,INV64026
PUR0439,P1783,2025-04-23,12,1159.8,INV70118
PUR0440,P1783,2025-05-26,61,17920.58,INV42599
PUR0441,P1595,2025-05-22,43,17679.88,INV94195
PUR0442,P1522,2025-03-31,154,58489.2,INV41031
PUR0443,P2495,2024-08-11,154,43360.24,INV21760
PUR0444,P1538,2024-09-22,138,44747.88,INV82669
PUR0445,P2113,2025-04-08,125,34530.0,INV95578
PUR0446,P2113,2024-12-13,58,22085.24,INV43445
PUR0447,P2113,2024-12-04,177,50285.7,INV95365
PUR0448,P2113,2025-02-12,170,78817.1,INV38515
PUR0449,P1180,2024-09-11,183,81039.72,INV95092
PUR0450,P1180,2025-02-27,127,62849.76,INV78660
PUR0451,P2219,2024-10-16,92,21350.44,INV48022
PUR0452,P2219,2024-07-25,19,7516.02,INV42300
PUR0453,P2219,2024-10-10,47,19055.68,INV20868
PUR0454,P2212,2024-11-13,17,1989.68,INV10379
PUR0455,P2212,2024-09-29,38,1197.0,INV91845
PUR0456,P2212,2025-04-19,65,16940.95,INV91592
PUR0457,P1047,2024-09-03,131,49761.66,INV14364
PUR0458,P1047,2024-11-18,192,57431.04,INV93038
PUR0459,P1047,2025-04-24,192,47865.6,INV37942
PUR0460,P1047,2024-07-26,171,56257.29,INV28523
PUR0461,P1616,2024-08-03,144,49874.4,INV45050
PUR0462,P1616,2025-07-05,162,69109.2,INV93137
PUR0463,P1616,2025-07-06,26,5714.02,INV38376
PUR0464,P1616,2025-01-23,107,913.78,INV25155
PUR0465,P1007,2025-01-11,107,38316.7,INV91864
PUR0466,P1007,2024-12-20,131,32064.87,INV19751
PUR0467,P1421,2025-07-07,109,49854.42,INV68845
PUR0468,P1421,2025-04-03,155,4885.6,INV41034
PUR0469,P2461,2025-06-18,117,13579.02,INV58421
PUR0470,P2461,2024-10-02,152,71876.24,INV25363
PUR0471,P2174,2024-07-11,38,7563.9,INV59957
PUR0472,P2174,2024-12-13,123,6902.76,INV44827
PUR0473,P2174,2025-02-19,119,39903.08,INV32332
PUR0474,P2174,2024-08-29,151,26106.39,INV24386
PUR0475,P2174,2024-10-20,123,38368.62,INV34813
PUR0476,P1558,2025-05-19,139,59325.2,INV19935
PUR0477,P1558,2025-02-26,171,1039.68,INV26429
PUR0478,P1558,2025-06-04,156,57507.84,INV94515
PUR0479,P1558,2024-09-27,14,4692.8,INV69657
