ProductID,ProductName,Category,Cost,Price,SupplierID,SupplierName,ReorderPoint,LeadTimeDays,ExpiryDate,UnitOfMeasure,quantity
P2052,Frying Pan (Non-stick),Utensils & Cookware,791.86,1124.0,S005,Apex Foods Pvt. Ltd.,1,6,2025-09-25,sets,26
P1271,Cola (2L),Snacks & Beverages,62.02,118.11,S008,TechGadgets India,3,4,2025-02-09,pcs,45
P1093,Water Bottle (Steel),Utensils & Cookware,617.91,1445.89,S004,Quick Supply India,1,7,2025-01-29,pcs,28
P2363,Mutton Curry Cut (500g),Meat & Seafood,954.48,1913.17,S006,Health Essentials Ltd.,16,1,2025-07-04,kg,70
P1092,Chai Mix (150g),Snacks & Beverages,138.21,197.55,S006,Health Essentials Ltd.,1,1,2024-12-20,bottles,12
P2206,Mango Juice (1L),Snacks & Beverages,131.43,181.92,S003,Priya Grocers,69,1,2027-03-23,liters,800
P1095,Jeans (Size 32),Apparel,336.48,800.13,S004,Quick Supply India,4,19,2025-05-03,sets,44
P2374,Bananas (1 Dozen),Fruits & Vegetables,24.19,56.07,S003,Priya Grocers,29,1,2025-07-04,kg,119
P1930,Protein Powder (Whey 500g),Health & Wellness,216.75,372.18,S007,HomeCare Solutions,19,6,2026-11-13,pcs,146
P1477,Immunity Booster (Syrup 200ml),Health & Wellness,596.08,1312.78,S008,TechGadgets India,13,7,2025-12-02,pcs,110
P2232,Cheese Slice (10 Pcs Pack),Dairy & Bakery,73.92,102.89,S002,Bharat Distributors,56,1,2025-07-22,liters,250
P2389,Pressure Cooker (3L),Utensils & Cookware,259.31,507.47,S003,Priya Grocers,3,8,2026-07-11,pcs,63
P1340,Spinach (Bunch),Fruits & Vegetables,93.0,145.91,S003,Priya Grocers,9,1,2025-05-27,kg,46
P1028,Chicken Breast (500g),Meat & Seafood,523.92,826.61,S004,Quick Supply India,11,1,2025-06-16,pcs,32
P1783,Basic Headphones,Electronics,17211.23,25422.77,S001,Indian Wholesale Co.,1,8,2026-08-16,pcs,17
P1595,Socks (Pack of 3),Apparel,1777.65,3016.65,S002,Bharat Distributors,11,17,2025-08-31,sets,124
P1522,Dishwashing Liquid (500ml),Home & Kitchen,613.1,882.39,S004,Quick Supply India,19,10,2026-01-09,kg,156
P2495,Butter (100g),Dairy & Bakery,94.1,233.76,S008,TechGadgets India,22,2,2025-08-29,liters,102
P1538,Basmati Rice (5kg),Grocery & Staples,143.97,244.65,S005,Apex Foods Pvt. Ltd.,26,3,2025-11-02,kg,474
P2113,Mutton Curry Cut (500g),Meat & Seafood,394.65,943.96,S001,Indian Wholesale Co.,25,1,2025-09-01,pcs,79
P1180,Potato Chips (Masala 75g),Snacks & Beverages,132.67,304.34,S003,Priya Grocers,2,1,2025-04-29,ml,37
P2219,Agarbatti (Pack of 100),Home & Kitchen,312.73,563.99,S005,Apex Foods Pvt. Ltd.,33,13,2025-12-31,kg,251
P2212,Sneakers (Size 9),Footwear,1385.56,2937.39,S001,Indian Wholesale Co.,5,12,2025-12-24,pcs,83
P1047,Potatoes (1kg),Fruits & Vegetables,44.45,106.13,S008,TechGadgets India,2,1,2025-05-19,g,12
P1616,Mutton Curry Cut (500g),Meat & Seafood,972.52,1336.02,S005,Apex Foods Pvt. Ltd.,30,1,2025-07-16,g,85
P1007,Multivitamin Tablets (Bottle 60pcs),Health & Wellness,680.54,1423.35,S004,Quick Supply India,1,7,2024-10-05,g,1
P1421,USB Cable (2m),Electronics,11801.54,16998.11,S004,Quick Supply India,1,13,2026-08-06,units,26
P2461,Cola (2L),Snacks & Beverages,117.04,224.81,S008,TechGadgets India,52,1,2025-12-07,bottles,794
P2174,Mutton Curry Cut (500g),Meat & Seafood,446.4,976.47,S008,TechGadgets India,22,1,2025-08-08,pcs,82
P1558,Dishwashing Liquid (500ml),Home & Kitchen,767.22,1498.58,S001,Indian Wholesale Co.,15,5,2025-08-11,kg,94
P2016,Sanitary Pads (Pack of 10),Personal Care,233.63,555.37,S008,TechGadgets India,11,7,2026-09-22,g,110
P1103,Paneer (200g),Dairy & Bakery,88.26,189.8,S005,Apex Foods Pvt. Ltd.,7,2,2025-06-10,packs,44
P1363,Lemons (250g),Fruits & Vegetables,96.48,184.67,S007,HomeCare Solutions,30,1,2025-08-25,bunches,107
P1701,Face Cream (Aloe Vera 50g),Personal Care,264.91,519.63,S001,Indian Wholesale Co.,21,8,2025-12-28,g,223
P1056,Mutton Curry Cut (500g),Meat & Seafood,220.74,428.49,S003,Priya Grocers,1,1,2025-06-22,pcs,4
P1039,Dishwashing Liquid (500ml),Home & Kitchen,431.05,558.98,S006,Health Essentials Ltd.,1,7,2024-10-11,packs,5
P1426,Mango Juice (1L),Snacks & Beverages,114.45,230.75,S005,Apex Foods Pvt. Ltd.,55,2,2025-10-16,pcs,848
P1582,Bread (Whole Wheat 400g),Dairy & Bakery,52.58,108.41,S002,Bharat Distributors,47,1,2025-07-14,g,278
P1559,Spices Combo (100g),Grocery & Staples,278.24,350.59,S005,Apex Foods Pvt. Ltd.,15,2,2027-05-18,kg,297
P1302,Potato Chips (Masala 75g),Snacks & Beverages,99.23,215.38,S005,Apex Foods Pvt. Ltd.,3,3,2025-05-24,ml,42
P1970,Bananas (1 Dozen),Fruits & Vegetables,38.79,69.59,S002,Bharat Distributors,39,1,2025-07-05,bunches,158
P2432,Formal Shoes (Size 10),Footwear,318.62,763.04,S002,Bharat Distributors,2,24,2025-12-31,pairs,32
P1030,Cheese Slice (10 Pcs Pack),Dairy & Bakery,66.52,91.89,S004,Quick Supply India,4,1,2025-05-04,g,28
P1064,Mango Juice (1L),Snacks & Beverages,145.1,253.86,S007,HomeCare Solutions,5,3,2024-10-03,bottles,73
P1380,Frying Pan (Non-stick),Utensils & Cookware,664.08,1394.17,S007,HomeCare Solutions,1,6,2026-05-12,pcs,29
P1169,Jeans (Size 32),Apparel,1902.16,4711.29,S005,Apex Foods Pvt. Ltd.,1,17,2024-08-02,sets,15
P1732,Butter (100g),Dairy & Bakery,151.02,254.65,S003,Priya Grocers,62,2,2025-08-28,packs,295
P1265,Chicken Breast (500g),Meat & Seafood,971.02,2342.32,S005,Apex Foods Pvt. Ltd.,10,1,2025-05-12,g,41
P1949,Jeans (Size 32),Apparel,422.04,1049.71,S004,Quick Supply India,4,14,2026-10-31,sets,53
P1449,Jeans (Size 32),Apparel,1580.12,2145.31,S007,HomeCare Solutions,3,24,2026-02-03,pcs,37
P1966,Mango Juice (1L),Snacks & Beverages,74.32,99.88,S007,HomeCare Solutions,99,2,2026-12-31,ml,1095
P1895,Sandals (Size 8),Footwear,529.68,1153.32,S008,TechGadgets India,5,18,2026-07-05,pcs,83
P1727,USB Cable (2m),Electronics,42094.96,104064.4,S008,TechGadgets India,1,9,2026-11-08,pcs,47
P1403,Cheese Slice (10 Pcs Pack),Dairy & Bakery,194.4,384.75,S003,Priya Grocers,59,1,2025-08-08,pcs,251
P1402,LED Bulb (9W),Electronics,34340.25,55037.01,S007,HomeCare Solutions,1,16,2025-10-28,units,42
P1282,Sandals (Size 8),Footwear,458.83,1030.1,S001,Indian Wholesale Co.,1,17,2024-12-10,pairs,26
P2317,Pressure Cooker (3L),Utensils & Cookware,851.99,1359.14,S003,Priya Grocers,3,9,2027-03-05,pcs,68
P1494,Sandals (Size 8),Footwear,1371.85,2843.4,S007,HomeCare Solutions,5,19,2025-11-09,pcs,85
P1476,Apples (1kg),Fruits & Vegetables,34.09,48.24,S002,Bharat Distributors,9,1,2025-09-25,kg,34
P2054,Protein Powder (Whey 500g),Health & Wellness,220.21,540.1,S001,Indian Wholesale Co.,27,11,2026-11-04,packs,218
P1516,Socks (Pack of 3),Apparel,1878.81,4175.78,S003,Priya Grocers,6,14,2026-12-21,sets,81
P1387,Dishwashing Liquid (500ml),Home & Kitchen,310.51,653.74,S008,TechGadgets India,29,8,2027-04-17,pcs,174
P2118,Butter (100g),Dairy & Bakery,67.97,150.03,S001,Indian Wholesale Co.,48,2,2025-08-28,dozens,277
P1273,Pressure Cooker (3L),Utensils & Cookware,825.99,1662.82,S003,Priya Grocers,1,11,2025-02-17,pcs,31
P2029,Agarbatti (Pack of 100),Home & Kitchen,172.38,329.63,S004,Quick Supply India,40,6,2026-04-02,kg,259
P1051,Salt (1kg),Grocery & Staples,178.12,382.41,S001,Indian Wholesale Co.,1,4,2024-11-16,packets,3
P1548,Dishwashing Liquid (500ml),Home & Kitchen,798.99,1491.06,S004,Quick Supply India,33,14,2025-10-26,packs,215
P1668,Hand Wash (Neem 250ml),Personal Care,153.99,250.89,S003,Priya Grocers,18,3,2025-11-04,ml,166
P1851,Toilet Cleaner (500ml),Home & Kitchen,127.53,158.17,S006,Health Essentials Ltd.,42,12,2026-10-17,bottles,244
P1191,Basic Headphones,Electronics,13287.0,32842.6,S006,Health Essentials Ltd.,1,11,2025-04-05,pcs,24
P1694,Toothpaste (Herbal 150g),Personal Care,283.27,533.61,S008,TechGadgets India,18,6,2026-03-22,bottles,164
P2254,Ghee (500ml),Grocery & Staples,248.43,356.23,S001,Indian Wholesale Co.,36,5,2026-11-14,kg,784
P1868,Dinner Set (4 Pcs),Utensils & Cookware,638.08,836.23,S002,Bharat Distributors,4,5,2026-09-02,sets,69
P1531,Tea Powder (250g),Grocery & Staples,185.51,402.87,S006,Health Essentials Ltd.,47,5,2026-10-06,packets,815
P2408,Cola (2L),Snacks & Beverages,87.82,109.82,S008,TechGadgets India,85,2,2026-11-17,liters,924
P1049,Soap (Sandalwood 125g),Personal Care,291.38,448.64,S008,TechGadgets India,2,5,2024-09-05,bottles,25
P1040,Curd (500g),Dairy & Bakery,122.06,223.7,S007,HomeCare Solutions,6,1,2025-05-18,pcs,36
P2000,Mustard Oil (1L),Grocery & Staples,260.97,418.05,S001,Indian Wholesale Co.,34,2,2026-09-10,kg,609
P1475,Basmati Rice (5kg),Grocery & Staples,181.18,358.59,S004,Quick Supply India,7,3,2026-12-29,kg,136
P1720,Mineral Water (1L),Snacks & Beverages,28.59,63.03,S001,Indian Wholesale Co.,28,3,2026-02-23,liters,432
P2497,Pressure Cooker (3L),Utensils & Cookware,510.06,712.24,S002,Bharat Distributors,4,9,2025-10-23,sets,68
P1080,Bananas (1 Dozen),Fruits & Vegetables,86.26,141.1,S004,Quick Supply India,3,1,2025-05-29,dozens,15
P1033,Toor Dal (1kg),Grocery & Staples,291.43,670.58,S003,Priya Grocers,2,2,2024-09-07,pcs,49
P1991,Matchbox (Pack of 10),Home & Kitchen,380.96,465.68,S007,HomeCare Solutions,38,6,2025-11-19,kg,232
